商品品类,出现频次,支持度
一次性塑料制品,101071,0.4879
方便面,22172,0.107
薯片/土豆类膨化（袋装）,16678,0.0805
原味乳酸菌饮料,15465,0.0746
肉制即食小食,12620,0.0609
常温纯牛奶,12061,0.0582
加味汽水,10003,0.0483
软糖,9410,0.0454
巧克力,9020,0.0435
原味酸奶,8026,0.0387
水果味酸奶,7919,0.0382
方便火腿肠,7917,0.0382
卫生巾,7893,0.0381
榨菜类,7879,0.038
鲜奶/纯奶,7228,0.0349
成人牙膏,6937,0.0335
火腿肠/腊肠类,6292,0.0304
香肠/烤肠/红肠类,6223,0.03
其他果汁饮料,6088,0.0294
果冻和布丁,5718,0.0276
米粮类膨化,5646,0.0273
甜味饼干,5587,0.027
口香糖,5510,0.0266
花雕酒,5149,0.0249
可乐,4701,0.0227
夹心饼干,4593,0.0222
奶茶饮品,4454,0.0215
加碘盐,4283,0.0207
普通洗发水,4198,0.0203
洗衣皂,4152,0.02
其他酸奶,4099,0.0198
酥饼类,3938,0.019
抽纸,3907,0.0189
挂面类,3828,0.0185
加味/加料乳酸菌饮料,3791,0.0183
豆制品及素食即食小食,3746,0.0181
棒棒糖/玩具糖,3746,0.0181
奶酪/芝士,3730,0.018
加鲜酱油,3656,0.0176
洗洁精,3550,0.0171
硬糖,3536,0.0171
其他膨化,3419,0.0165
梅类,3292,0.0159
冷藏包子/馒头,3186,0.0154
成人通用沐浴露,3148,0.0152
冷冻黑芝麻汤圆,3098,0.015
即溶麦片,2955,0.0143
杯具,2890,0.0139
炼乳,2847,0.0137
奶茶饮料,2818,0.0136
普通豆腐,2813,0.0136
甜面酱/豆酱类,2689,0.013
机能饮料,2664,0.0129
其他蛋糕/面包,2624,0.0127
方便米粉,2572,0.0124
餐具,2556,0.0123
面巾纸,2553,0.0123
口味曲奇,2531,0.0122
成人牙刷,2370,0.0114
水产即食小食,2271,0.011
紫菜类,2270,0.011
除虫用品,2257,0.0109
陈醋,2256,0.0109
苏打水,2243,0.0108
毛巾,2229,0.0108
洗衣粉,2225,0.0107
火锅底料,2216,0.0107
橙汁饮料,2206,0.0106
其他口味月饼,2133,0.0103
洗衣液,2114,0.0102
烹调用具,2057,0.0099
冷冻甜味包子,2027,0.0098
鸡精/鸡粉,1998,0.0096
水果蔬菜干,1967,0.0095
营养盐,1955,0.0094
玉米油/粟米油,1954,0.0094
番茄酱/沙司,1929,0.0093
海鲜类膨化,1911,0.0092
速溶咖啡,1889,0.0091
果味冰棒,1856,0.009
常温加味加料酸乳/奶,1851,0.0089
下饭菜/香辣菜/橄榄菜,1760,0.0085
常温原味酸乳/奶,1759,0.0085
凉茶饮料,1709,0.0082
护垫,1690,0.0082
密封容器,1683,0.0081
儿童奶酪,1675,0.0081
洗刷用品,1649,0.008
红茶饮料,1630,0.0079
矿泉水,1628,0.0079
味精/味素,1587,0.0077
中老年奶粉,1573,0.0076
国产普通啤酒,1572,0.0076
混合果汁饮料,1565,0.0076
椰子汁饮料,1497,0.0072
豆腐乳,1495,0.0072
玉米类膨化,1490,0.0072
普通香皂,1451,0.007
糕类,1426,0.0069
其它口味冰棒,1384,0.0067
其它雪糕,1381,0.0067
棒棒冰/碎碎冰,1369,0.0066
蚝油,1365,0.0066
一次性餐具,1350,0.0065
常温加味加料奶,1317,0.0064
水桶/脸盆,1296,0.0063
糯米面粉,1290,0.0062
辣酱类,1287,0.0062
普通面粉,1261,0.0061
红薯粉丝/粉皮,1237,0.006
其他茶饮料,1233,0.006
腌菜类,1220,0.0059
男凉拖,1194,0.0058
功能性香皂,1175,0.0057
凉粉,1163,0.0056
冷冻肉馅馄饨,1163,0.0056
奶条/奶片,1153,0.0056
面部护肤保养,1153,0.0056
包装土鸡蛋,1152,0.0056
菜籽油,1128,0.0054
牙签,1121,0.0054
国产香烟,1114,0.0054
其他滋补保健品,1055,0.0051
常规湿巾,1038,0.005
加饭酒,987,0.0048
方便馄饨/饺子/火锅,978,0.0047
冷冻无馅汤圆,966,0.0047
衣架,949,0.0046
冷冻玉米粒,935,0.0045
普通洗手液,923,0.0045
其他一次性用品,917,0.0044
包装鸭蛋/鹅蛋/鹌鹑蛋,911,0.0044
白醋,895,0.0043
内酯豆腐,884,0.0043
虾仁/虾皮,882,0.0043
自发面粉,876,0.0042
洁厕清洁用品,876,0.0042
垃圾袋,853,0.0041
拿铁咖啡饮料,830,0.004
特殊食用油礼盒,827,0.004
冷冻鱼类,826,0.004
其他香料/大料,825,0.004
杯装冰淇淋,819,0.004
方便米饭,815,0.0039
手套,807,0.0039
黄豆酱油,800,0.0039
炒菜调料,797,0.0038
冷冻加味馒头,781,0.0038
豆豉酱,773,0.0037
乌龙茶/铁观音饮料,771,0.0037
卷纸,766,0.0037
润喉和功能糖,757,0.0037
山楂类,755,0.0036
绿茶饮料,748,0.0036
葡萄汁饮料,735,0.0035
涂层饼干,734,0.0035
辣椒及辣椒段,723,0.0035
含乳饮料,723,0.0035
女凉拖,715,0.0035
芥茉膏/沙拉酱/咖喱酱,712,0.0034
手帕纸,700,0.0034
干酵母,679,0.0033
其他瓜子,670,0.0032
其它水果罐头,665,0.0032
葵瓜子,663,0.0032
米酒,663,0.0032
儿童牙膏,654,0.0032
糖蒜/酱瓜/笋类,649,0.0031
肉味调味酱,644,0.0031
抹布,640,0.0031
其他调味粉,630,0.003
绿豆豌豆粉丝/粉皮,629,0.003
其他杂米类,621,0.003
胡椒粉,619,0.003
速溶奶粉,617,0.003
淀粉生粉,614,0.003
清香型白酒,614,0.003
打扫用具,613,0.003
方巾,612,0.003
冷冻猪肉水饺,612,0.003
大豆油,609,0.0029
挂钩,606,0.0029
咸味饼干/葱油饼干,583,0.0028
包装盐蛋,566,0.0027
生抽,559,0.0027
洗衣/晒衣用品,552,0.0027
男士内裤,539,0.0026
男士专用洗发水,536,0.0026
胶水/胶带,532,0.0026
坚果仁,528,0.0025
带汤料包面条,527,0.0025
浴花,525,0.0025
冷冻其他果仁汤圆,524,0.0025
其他即食汤类,515,0.0025
普通酱油,511,0.0025
果粒酸奶,509,0.0025
核桃乳饮品,501,0.0024
教育类玩具,500,0.0024
男棉拖,499,0.0024
浴室/淋浴配件,485,0.0023
其他美容配件,484,0.0023
香米,474,0.0023
香醋,473,0.0023
其他调味酱,469,0.0023
男袜,467,0.0023
芝麻糊,467,0.0023
厨房清洁用品,465,0.0022
常温低脂奶,463,0.0022
纯净水,458,0.0022
洗脸巾,455,0.0022
花茶/水果茶类,455,0.0022
普通沙琪玛,453,0.0022
其他口味威化饼干,452,0.0022
枣类,440,0.0021
冷冻肉丸,433,0.0021
进口米,432,0.0021
枸杞,426,0.0021
冷冻蔬菜,425,0.0021
冷冻粽子/黄粑/米粑/年糕类,425,0.0021
海盐,425,0.0021
冷藏点心,424,0.002
红枣类（煲汤枣类）,422,0.002
其他咖啡饮料,422,0.002
八宝粥,421,0.002
冷冻肉包子,421,0.002
果酒/鲜花酒,419,0.002
巧克力派,412,0.002
膨化食品组合包,409,0.002
冷冻牛排及牛肉调理制品,408,0.002
梳子,401,0.0019
冷冻其他馅水饺,400,0.0019
麻花类,398,0.0019
其他冷冻速食面食,387,0.0019
葵花籽油,382,0.0018
芝麻油,382,0.0018
即食豆制品类,381,0.0018
婴儿湿巾,376,0.0018
笔,371,0.0018
冷冻素包子,369,0.0018
葡萄/提子类,368,0.0018
核桃,368,0.0018
芝麻酱/香菇酱/蒜蓉酱,367,0.0018
冷藏春卷/烧麦/煎饼类,352,0.0017
肘花,351,0.0017
运动饮料,351,0.0017
常温加料奶,341,0.0016
冷冻牛肉片/卷,335,0.0016
花茶饮料,332,0.0016
夹心蛋卷,322,0.0016
