商品A,商品B,出现次数,支持度
保健品,家用清洁,63,4.826860513384884e-06
休闲食品,冷藏类,5933,4.826860513384884e-06
休闲食品,家用电器,241,4.826860513384884e-06
休闲食品,烟酒水饮,22285,4.826860513384884e-06
烟酒水饮,粮油调味,21925,4.826860513384884e-06
家居用品,粮油调味,37203,4.826860513384884e-06
个人清洁,卫生用品,3407,4.826860513384884e-06
个人清洁,家居用品,11492,4.826860513384884e-06
个人清洁,家用清洁,4441,4.826860513384884e-06
个人清洁,家用电器,309,4.826860513384884e-06
卫生用品,家居用品,9605,4.826860513384884e-06
卫生用品,家用清洁,2783,4.826860513384884e-06
卫生用品,家用电器,187,4.826860513384884e-06
家居用品,家用清洁,8192,4.826860513384884e-06
家居用品,家用电器,848,4.826860513384884e-06
家用清洁,家用电器,200,4.826860513384884e-06
个人清洁,烟酒水饮,4310,4.826860513384884e-06
保健品,冲调食品,310,4.826860513384884e-06
冲调食品,南北干货,381,4.826860513384884e-06
个人清洁,服饰箱包,720,4.826860513384884e-06
休闲食品,冲调食品,7158,4.826860513384884e-06
休闲食品,冷藏乳制品,9844,4.826860513384884e-06
冲调食品,冷藏乳制品,1968,4.826860513384884e-06
冲调食品,烟酒水饮,5458,4.826860513384884e-06
冷藏乳制品,烟酒水饮,11498,4.826860513384884e-06
个人清洁,家用纺织,1336,4.826860513384884e-06
个人清洁,粮油调味,3978,4.826860513384884e-06
卫生用品,家用纺织,777,4.826860513384884e-06
卫生用品,粮油调味,2941,4.826860513384884e-06
家用清洁,家用纺织,679,4.826860513384884e-06
家用清洁,粮油调味,3179,4.826860513384884e-06
家用电器,家用纺织,98,4.826860513384884e-06
家用电器,粮油调味,235,4.826860513384884e-06
家用纺织,粮油调味,606,4.826860513384884e-06
冷冻类,冷藏乳制品,1757,4.826860513384884e-06
冷冻类,南北干货,478,4.826860513384884e-06
冷藏乳制品,南北干货,614,4.826860513384884e-06
南北干货,家用清洁,246,4.826860513384884e-06
南北干货,粮油调味,2826,4.826860513384884e-06
个人清洁,冷冻类,549,4.826860513384884e-06
家用电器,烟酒水饮,236,4.826860513384884e-06
冲调食品,粮油调味,4422,4.826860513384884e-06
休闲食品,婴童食品,514,4.826860513384884e-06
冲调食品,婴童食品,95,4.826860513384884e-06
婴童食品,烟酒水饮,221,4.826860513384884e-06
休闲食品,卫生用品,4250,4.826860513384884e-06
冷冻甜品,烟酒水饮,1636,4.826860513384884e-06
家居用品,烟酒水饮,36356,4.826860513384884e-06
休闲食品,文体用品,1382,4.826860513384884e-06
个人清洁,医疗用品,44,4.826860513384884e-06
家用清洁,烟酒水饮,3006,4.826860513384884e-06
休闲食品,粮油调味,17087,4.826860513384884e-06
休闲食品,家居用品,35542,4.826860513384884e-06
冷藏类,烟酒水饮,5343,4.826860513384884e-06
医疗用品,家用纺织,18,4.826860513384884e-06
休闲食品,家用纺织,1011,4.826860513384884e-06
休闲食品,服饰箱包,521,4.826860513384884e-06
冷藏类,家居用品,9716,4.826860513384884e-06
冷藏类,家用电器,44,4.826860513384884e-06
冷藏类,家用纺织,139,4.826860513384884e-06
冷藏类,服饰箱包,68,4.826860513384884e-06
冷藏类,粮油调味,8554,4.826860513384884e-06
家居用品,家用纺织,2646,4.826860513384884e-06
家居用品,服饰箱包,1702,4.826860513384884e-06
家用电器,服饰箱包,74,4.826860513384884e-06
家用纺织,服饰箱包,325,4.826860513384884e-06
家用纺织,烟酒水饮,835,4.826860513384884e-06
服饰箱包,烟酒水饮,475,4.826860513384884e-06
服饰箱包,粮油调味,382,4.826860513384884e-06
南北干货,家居用品,3621,4.826860513384884e-06
休闲食品,冷冻类,2847,4.826860513384884e-06
休闲食品,南北干货,1440,4.826860513384884e-06
冷冻类,卫生用品,441,4.826860513384884e-06
南北干货,卫生用品,204,4.826860513384884e-06
冲调食品,卫生用品,1126,4.826860513384884e-06
婴童用品,家居用品,359,4.826860513384884e-06
婴童用品,服饰箱包,26,4.826860513384884e-06
个人清洁,休闲食品,5360,4.826860513384884e-06
个人清洁,冷藏类,892,4.826860513384884e-06
个人清洁,南北干货,271,4.826860513384884e-06
休闲食品,家用清洁,3184,4.826860513384884e-06
冷藏类,南北干货,610,4.826860513384884e-06
冷藏类,家用清洁,608,4.826860513384884e-06
南北干货,家用电器,16,4.826860513384884e-06
文体用品,烟酒水饮,897,4.826860513384884e-06
冲调食品,冷冻类,671,4.826860513384884e-06
冲调食品,冷藏类,1211,4.826860513384884e-06
冲调食品,家居用品,9060,4.826860513384884e-06
冲调食品,家用清洁,988,4.826860513384884e-06
冷冻类,冷藏类,2297,4.826860513384884e-06
冷冻类,家居用品,6741,4.826860513384884e-06
冷冻类,家用清洁,391,4.826860513384884e-06
冷冻类,粮油调味,3873,4.826860513384884e-06
冷藏类,卫生用品,651,4.826860513384884e-06
冷藏乳制品,家居用品,15911,4.826860513384884e-06
冷藏乳制品,粮油调味,7264,4.826860513384884e-06
卫生用品,服饰箱包,436,4.826860513384884e-06
家用清洁,服饰箱包,416,4.826860513384884e-06
保健品,烟酒水饮,382,4.826860513384884e-06
休闲食品,医疗用品,47,4.826860513384884e-06
医疗用品,家用清洁,34,4.826860513384884e-06
卫生用品,烟酒水饮,3448,4.826860513384884e-06
冷冻类,烟酒水饮,2920,4.826860513384884e-06
冷藏乳制品,冷藏类,2486,4.826860513384884e-06
冷冻类,豆制品,283,4.826860513384884e-06
休闲食品,保健品,376,4.826860513384884e-06
保健品,粮油调味,244,4.826860513384884e-06
个人清洁,冷藏乳制品,1894,4.826860513384884e-06
家居用品,文体用品,1634,4.826860513384884e-06
冷冻类,水产,125,4.826860513384884e-06
保健品,冷藏类,49,4.826860513384884e-06
保健品,卫生用品,66,4.826860513384884e-06
保健品,家居用品,602,4.826860513384884e-06
个人清洁,冲调食品,1529,4.826860513384884e-06
个人清洁,文体用品,463,4.826860513384884e-06
冷藏乳制品,家用清洁,1164,4.826860513384884e-06
家居用品,水产,617,4.826860513384884e-06
冲调食品,家用纺织,297,4.826860513384884e-06
文体用品,粮油调味,590,4.826860513384884e-06
粮油调味,蛋类,1233,4.826860513384884e-06
烟酒水饮,豆制品,1035,4.826860513384884e-06
