Unnamed: 0,year_id,quarter_id,smonth,sweek,start_day_week,sdate,stime,shour,bills_id,goods_id,goods_name_st,goods_name_orig,unit_name,goods_spec,brand,sale_amount,sale_orig_amount,sale_price,sale_qty,mysl_category_name_lv1,mysl_category_name_lv2,mysl_category_name_lv3,mysl_category_name_lv4
235,2021,1,202101,202101,20210104,20210107,28:25.0,8,21100016190,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,215,215,21.5,10,食品,烟酒水饮,香烟,国产香烟
399,2021,1,202101,202101,20210104,20210107,05:26.0,11,21100016202,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
404,2021,1,202101,202101,20210104,20210107,12:26.0,11,21100016203,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,215,215,21.5,10,食品,烟酒水饮,香烟,国产香烟
464,2021,1,202101,202101,20210104,20210107,11:35.0,12,21100016210,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
667,2021,1,202101,202101,20210104,20210107,22:54.0,15,21100016225,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
800,2021,1,202101,202101,20210104,20210107,44:18.0,16,21100016235,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
812,2021,1,202101,202101,20210104,20210107,51:49.0,16,21100016237,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,44,44,22,2,食品,烟酒水饮,香烟,国产香烟
435,2021,1,202101,202101,20210104,20210108,24:52.0,11,21120111873,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
682,2021,1,202101,202101,20210104,20210108,21:15.0,15,21100016323,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,44,44,22,2,食品,烟酒水饮,香烟,国产香烟
949,2021,1,202101,202101,20210104,20210108,11:52.0,17,21100016349,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,44,44,22,2,食品,烟酒水饮,香烟,国产香烟
142,2021,1,202101,202101,20210104,20210108,40:45.0,18,21100016371,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,44,44,22,2,食品,烟酒水饮,香烟,国产香烟
735,2021,1,202101,202101,20210104,20210109,03:26.0,11,21100016426,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,215,215,21.5,10,食品,烟酒水饮,香烟,国产香烟
749,2021,1,202101,202101,20210104,20210109,10:23.0,11,21100016430,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,44,44,22,2,食品,烟酒水饮,香烟,国产香烟
42,2021,1,202101,202101,20210104,20210109,09:54.0,14,21130093561,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
132,2021,1,202101,202101,20210104,20210109,54:13.0,14,21100016462,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
783,2021,1,202101,202101,20210104,20210109,41:05.0,19,21100016494,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
976,2021,1,202101,202101,20210104,20210110,29:59.0,9,21100016507,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
984,2021,1,202101,202101,20210104,20210110,42:06.0,9,21100016508,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
284,2021,1,202101,202101,20210104,20210110,49:34.0,12,21100016530,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
726,2021,1,202101,202101,20210104,20210110,24:41.0,16,21160034186,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
1018,2021,1,202101,202101,20210104,20210110,15:34.0,19,21120113397,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
275,2021,1,202101,202102,20210111,20210111,15:27.0,10,21130094422,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,44,44,22,2,食品,烟酒水饮,香烟,国产香烟
957,2021,1,202101,202102,20210111,20210111,29:38.0,18,21100016654,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
249,2021,1,202101,202102,20210111,20210111,36:24.0,20,21100016664,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
527,2021,1,202101,202102,20210111,20210112,54:08.0,10,21100016683,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
942,2021,1,202101,202102,20210111,20210112,04:50.0,16,21130095268,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
582,2021,1,202101,202102,20210111,20210113,33:34.0,9,21100016732,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
276,2021,1,202101,202102,20210111,20210113,20:41.0,19,21100016775,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
571,2021,1,202101,202102,20210111,20210114,24:06.0,9,21100016797,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
749,2021,1,202101,202102,20210111,20210114,41:16.0,11,21100016807,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
780,2021,1,202101,202102,20210111,20210114,59:11.0,11,21100016811,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
192,2021,1,202101,202102,20210111,20210114,24:41.0,18,21100016841,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
717,2021,1,202101,202102,20210111,20210115,20:37.0,11,21100016878,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
152,2021,1,202101,202102,20210111,20210115,44:59.0,16,21100016931,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,860,860,21.5,40,食品,烟酒水饮,香烟,国产香烟
665,2021,1,202101,202102,20210111,20210115,05:57.0,21,21120116653,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,44,44,22,2,食品,烟酒水饮,香烟,国产香烟
694,2021,1,202101,202102,20210111,20210116,25:01.0,7,21130096740,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
201,2021,1,202101,202102,20210111,20210116,12:43.0,12,21100016986,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
623,2021,1,202101,202102,20210111,20210116,36:56.0,14,21100017001,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,44,44,22,2,食品,烟酒水饮,香烟,国产香烟
271,2021,1,202101,202102,20210111,20210116,37:04.0,17,21100017019,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,215,215,21.5,10,食品,烟酒水饮,香烟,国产香烟
490,2021,1,202101,202102,20210111,20210116,12:16.0,19,21160036774,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
496,2021,1,202101,202102,20210111,20210116,16:56.0,19,21160036779,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
633,2021,1,202101,202102,20210111,20210116,47:19.0,19,21100017034,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
718,2021,1,202101,202102,20210111,20210116,04:49.0,20,21100017042,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
34,2021,1,202101,202102,20210111,20210117,36:16.0,10,21100017063,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,44,44,22,2,食品,烟酒水饮,香烟,国产香烟
36,2021,1,202101,202102,20210111,20210117,36:43.0,10,21100017064,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
312,2021,1,202101,202102,20210111,20210117,04:01.0,13,21130097645,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,44,44,22,2,食品,烟酒水饮,香烟,国产香烟
181,2021,1,202101,202103,20210118,20210118,29:26.0,7,21100017114,2000000013138,利群(软红长嘴),软长嘴红利群,包,20支,利群,22,22,22,1,食品,烟酒水饮,香烟,国产香烟
