Unnamed: 0,year_id,quarter_id,smonth,sweek,start_day_week,sdate,stime,shour,goods_id,goods_name_st,goods_name_orig,unit_name,sale_amount,sale_orig_amount,sale_price,sale_qty,mysl_category_name_lv1,mysl_category_name_lv2,mysl_category_name_lv3,mysl_category_name_lv4
972,2021,2,202104,202113,20210329,20210401,49:52.0,16,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,6,6,2,3,生鲜,蛋类,包装蛋类,包装盐蛋
420,2021,2,202104,202113,20210329,20210401,12:21.0,20,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,8,8,2,4,生鲜,蛋类,包装蛋类,包装盐蛋
563,2021,2,202104,202113,20210329,20210402,34:05.0,7,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,6,6,2,3,生鲜,蛋类,包装蛋类,包装盐蛋
750,2021,2,202104,202113,20210329,20210402,48:40.0,17,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,10,10,2,5,生鲜,蛋类,包装蛋类,包装盐蛋
109,2021,2,202104,202113,20210329,20210402,29:56.0,20,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,4,4,2,2,生鲜,蛋类,包装蛋类,包装盐蛋
314,2021,2,202104,202113,20210329,20210403,46:19.0,8,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,6,6,2,3,生鲜,蛋类,包装蛋类,包装盐蛋
314,2021,2,202104,202113,20210329,20210403,54:48.0,15,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,20,20,2,10,生鲜,蛋类,包装蛋类,包装盐蛋
423,2021,2,202104,202113,20210329,20210403,33:50.0,16,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,10,10,2,5,生鲜,蛋类,包装蛋类,包装盐蛋
692,2021,2,202104,202113,20210329,20210403,43:25.0,18,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,8,8,2,4,生鲜,蛋类,包装蛋类,包装盐蛋
740,2021,2,202104,202113,20210329,20210403,56:40.0,18,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,14,14,2,7,生鲜,蛋类,包装蛋类,包装盐蛋
1010,2021,2,202104,202113,20210329,20210404,39:38.0,20,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,4,4,2,2,生鲜,蛋类,包装蛋类,包装盐蛋
293,2021,2,202104,202114,20210405,20210405,13:28.0,18,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,10,10,2,5,生鲜,蛋类,包装蛋类,包装盐蛋
329,2021,2,202104,202114,20210405,20210405,42:06.0,18,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,4,4,2,2,生鲜,蛋类,包装蛋类,包装盐蛋
471,2021,2,202104,202114,20210405,20210406,27:50.0,16,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,18,18,2,9,生鲜,蛋类,包装蛋类,包装盐蛋
510,2021,2,202104,202114,20210405,20210406,45:01.0,16,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,4,4,2,2,生鲜,蛋类,包装蛋类,包装盐蛋
786,2021,2,202104,202114,20210405,20210406,36:05.0,18,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,4,4,2,2,生鲜,蛋类,包装蛋类,包装盐蛋
851,2021,2,202104,202114,20210405,20210407,29:52.0,14,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,10,10,2,5,生鲜,蛋类,包装蛋类,包装盐蛋
188,2021,2,202104,202114,20210405,20210407,19:21.0,17,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,4,4,2,2,生鲜,蛋类,包装蛋类,包装盐蛋
758,2021,2,202104,202114,20210405,20210407,15:39.0,20,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,2,2,2,1,生鲜,蛋类,包装蛋类,包装盐蛋
836,2021,2,202104,202114,20210405,20210407,39:45.0,20,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,8,8,2,4,生鲜,蛋类,包装蛋类,包装盐蛋
248,2021,2,202104,202114,20210405,20210408,17:56.0,18,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,10,10,2,5,生鲜,蛋类,包装蛋类,包装盐蛋
283,2021,2,202104,202114,20210405,20210408,36:10.0,18,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,16,16,2,8,生鲜,蛋类,包装蛋类,包装盐蛋
875,2021,2,202104,202114,20210405,20210409,34:44.0,9,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,2,2,2,1,生鲜,蛋类,包装蛋类,包装盐蛋
882,2021,2,202104,202114,20210405,20210409,38:16.0,9,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,4,4,2,2,生鲜,蛋类,包装蛋类,包装盐蛋
934,2021,2,202104,202114,20210405,20210409,02:56.0,10,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,10,10,2,5,生鲜,蛋类,包装蛋类,包装盐蛋
627,2021,2,202104,202114,20210405,20210409,57:16.0,16,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,20,20,2,10,生鲜,蛋类,包装蛋类,包装盐蛋
870,2021,2,202104,202114,20210405,20210409,33:03.0,18,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,4,4,2,2,生鲜,蛋类,包装蛋类,包装盐蛋
74,2021,2,202104,202114,20210405,20210409,42:49.0,19,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,8,8,2,4,生鲜,蛋类,包装蛋类,包装盐蛋
334,2021,2,202104,202114,20210405,20210409,10:47.0,21,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,4,4,2,2,生鲜,蛋类,包装蛋类,包装盐蛋
381,2021,2,202104,202114,20210405,20210410,39:20.0,15,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,10,10,2,5,生鲜,蛋类,包装蛋类,包装盐蛋
349,2021,2,202104,202114,20210405,20210411,08:04.0,8,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,6,6,2,3,生鲜,蛋类,包装蛋类,包装盐蛋
635,2021,2,202104,202114,20210405,20210411,55:06.0,9,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,8,8,2,4,生鲜,蛋类,包装蛋类,包装盐蛋
836,2021,2,202104,202114,20210405,20210411,33:56.0,10,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,10,10,2,5,生鲜,蛋类,包装蛋类,包装盐蛋
0,2021,2,202104,202114,20210405,20210411,38:01.0,11,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,8,8,2,4,生鲜,蛋类,包装蛋类,包装盐蛋
562,2021,2,202104,202115,20210412,20210412,53:47.0,9,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,4,4,2,2,生鲜,蛋类,包装蛋类,包装盐蛋
774,2021,2,202104,202115,20210412,20210412,55:17.0,11,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,18,18,2,9,生鲜,蛋类,包装蛋类,包装盐蛋
1021,2021,2,202104,202115,20210412,20210412,33:16.0,15,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,10,10,2,5,生鲜,蛋类,包装蛋类,包装盐蛋
635,2021,2,202104,202115,20210412,20210412,38:47.0,19,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,10,10,2,5,生鲜,蛋类,包装蛋类,包装盐蛋
671,2021,2,202104,202115,20210412,20210412,53:06.0,19,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,10,10,2,5,生鲜,蛋类,包装蛋类,包装盐蛋
905,2021,2,202104,202115,20210412,20210413,46:11.0,7,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,2,2,2,1,生鲜,蛋类,包装蛋类,包装盐蛋
562,2021,2,202104,202115,20210412,20210413,05:04.0,15,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,2,2,2,1,生鲜,蛋类,包装蛋类,包装盐蛋
130,2021,2,202104,202115,20210412,20210413,03:46.0,20,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,6,6,2,3,生鲜,蛋类,包装蛋类,包装盐蛋
537,2021,2,202104,202115,20210412,20210414,31:03.0,10,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,10,10,2,5,生鲜,蛋类,包装蛋类,包装盐蛋
126,2021,2,202104,202115,20210412,20210414,00:32.0,16,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,2,2,2,1,生鲜,蛋类,包装蛋类,包装盐蛋
339,2021,2,202104,202115,20210412,20210414,31:57.0,17,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,10,10,2,5,生鲜,蛋类,包装蛋类,包装盐蛋
372,2021,2,202104,202115,20210412,20210414,46:06.0,17,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,30,30,2,15,生鲜,蛋类,包装蛋类,包装盐蛋
627,2021,2,202104,202115,20210412,20210415,20:16.0,16,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,12,12,2,6,生鲜,蛋类,包装蛋类,包装盐蛋
747,2021,2,202104,202115,20210412,20210415,40:12.0,16,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,6,6,2,3,生鲜,蛋类,包装蛋类,包装盐蛋
934,2021,2,202104,202115,20210412,20210415,35:18.0,17,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,8,8,2,4,生鲜,蛋类,包装蛋类,包装盐蛋
42,2021,2,202104,202115,20210412,20210416,24:48.0,11,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,10,10,2,5,生鲜,蛋类,包装蛋类,包装盐蛋
51,2021,2,202104,202115,20210412,20210416,28:31.0,11,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,16,16,2,8,生鲜,蛋类,包装蛋类,包装盐蛋
816,2021,2,202104,202115,20210412,20210416,34:42.0,20,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,4,4,2,2,生鲜,蛋类,包装蛋类,包装盐蛋
201,2021,2,202104,202115,20210412,20210417,02:00.0,17,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,10,10,2,5,生鲜,蛋类,包装蛋类,包装盐蛋
589,2021,2,202104,202115,20210412,20210417,30:27.0,19,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,4,4,2,2,生鲜,蛋类,包装蛋类,包装盐蛋
841,2021,2,202104,202115,20210412,20210418,31:02.0,14,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,4,4,2,2,生鲜,蛋类,包装蛋类,包装盐蛋
983,2021,2,202104,202115,20210412,20210418,42:27.0,15,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,6,6,2,3,生鲜,蛋类,包装蛋类,包装盐蛋
143,2021,2,202104,202115,20210412,20210418,07:17.0,17,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,8,8,2,4,生鲜,蛋类,包装蛋类,包装盐蛋
868,2021,2,202104,202116,20210419,20210419,49:59.0,19,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,4,4,2,2,生鲜,蛋类,包装蛋类,包装盐蛋
88,2021,2,202104,202116,20210419,20210420,33:54.0,7,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,6,6,1.5,4,生鲜,蛋类,包装蛋类,包装盐蛋
248,2021,2,202104,202116,20210419,20210420,18:02.0,9,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,7.5,7.5,1.5,5,生鲜,蛋类,包装蛋类,包装盐蛋
250,2021,2,202104,202116,20210419,20210420,19:36.0,9,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,7.5,7.5,1.5,5,生鲜,蛋类,包装蛋类,包装盐蛋
270,2021,2,202104,202116,20210419,20210420,32:34.0,9,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,9,9,1.5,6,生鲜,蛋类,包装蛋类,包装盐蛋
541,2021,2,202104,202116,20210419,20210420,18:38.0,12,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,9,9,1.5,6,生鲜,蛋类,包装蛋类,包装盐蛋
731,2021,2,202104,202116,20210419,20210420,59:29.0,14,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,9,9,1.5,6,生鲜,蛋类,包装蛋类,包装盐蛋
4,2021,2,202104,202116,20210419,20210420,03:44.0,17,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,1.5,1.5,1.5,1,生鲜,蛋类,包装蛋类,包装盐蛋
416,2021,2,202104,202116,20210419,20210420,55:05.0,19,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,7.5,7.5,1.5,5,生鲜,蛋类,包装蛋类,包装盐蛋
526,2021,2,202104,202116,20210419,20210420,22:37.0,20,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,3,3,1.5,2,生鲜,蛋类,包装蛋类,包装盐蛋
907,2021,2,202104,202116,20210419,20210421,12:12.0,9,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,6,6,1.5,4,生鲜,蛋类,包装蛋类,包装盐蛋
15,2021,2,202104,202116,20210419,20210421,03:23.0,10,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,6,6,1.5,4,生鲜,蛋类,包装蛋类,包装盐蛋
132,2021,2,202104,202116,20210419,20210421,54:10.0,10,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,6,6,1.5,4,生鲜,蛋类,包装蛋类,包装盐蛋
767,2021,2,202104,202116,20210419,20210421,37:18.0,17,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,9,9,1.5,6,生鲜,蛋类,包装蛋类,包装盐蛋
1018,2021,2,202104,202116,20210419,20210421,40:23.0,19,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,6,6,1.5,4,生鲜,蛋类,包装蛋类,包装盐蛋
141,2021,2,202104,202116,20210419,20210421,26:14.0,20,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,9,9,1.5,6,生鲜,蛋类,包装蛋类,包装盐蛋
146,2021,2,202104,202116,20210419,20210421,33:03.0,20,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,18,18,1.5,12,生鲜,蛋类,包装蛋类,包装盐蛋
303,2021,2,202104,202116,20210419,20210422,43:38.0,8,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,7.5,7.5,1.5,5,生鲜,蛋类,包装蛋类,包装盐蛋
417,2021,2,202104,202116,20210419,20210422,56:12.0,9,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,3,3,1.5,2,生鲜,蛋类,包装蛋类,包装盐蛋
540,2021,2,202104,202116,20210419,20210422,25:12.0,11,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,15,15,1.5,10,生鲜,蛋类,包装蛋类,包装盐蛋
851,2021,2,202104,202116,20210419,20210422,08:12.0,16,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,6,6,1.5,4,生鲜,蛋类,包装蛋类,包装盐蛋
902,2021,2,202104,202116,20210419,20210422,24:58.0,16,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,13.5,13.5,1.5,9,生鲜,蛋类,包装蛋类,包装盐蛋
437,2021,2,202104,202116,20210419,20210422,10:26.0,20,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,4.5,4.5,1.5,3,生鲜,蛋类,包装蛋类,包装盐蛋
466,2021,2,202104,202116,20210419,20210422,20:56.0,20,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,4.5,4.5,1.5,3,生鲜,蛋类,包装蛋类,包装盐蛋
830,2021,2,202104,202116,20210419,20210423,04:46.0,10,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,3,3,1.5,2,生鲜,蛋类,包装蛋类,包装盐蛋
834,2021,2,202104,202116,20210419,20210423,14:27.0,10,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,30,30,1.5,20,生鲜,蛋类,包装蛋类,包装盐蛋
876,2021,2,202104,202116,20210419,20210423,25:56.0,10,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,9,9,1.5,6,生鲜,蛋类,包装蛋类,包装盐蛋
879,2021,2,202104,202116,20210419,20210423,28:04.0,10,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,12,12,1.5,8,生鲜,蛋类,包装蛋类,包装盐蛋
12,2021,2,202104,202116,20210419,20210423,08:57.0,12,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,6,6,1.5,4,生鲜,蛋类,包装蛋类,包装盐蛋
165,2021,2,202104,202116,20210419,20210423,39:12.0,14,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,7.5,7.5,1.5,5,生鲜,蛋类,包装蛋类,包装盐蛋
217,2021,2,202104,202116,20210419,20210423,13:30.0,15,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,21,21,1.5,14,生鲜,蛋类,包装蛋类,包装盐蛋
529,2021,2,202104,202116,20210419,20210423,23:18.0,17,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,3,3,1.5,2,生鲜,蛋类,包装蛋类,包装盐蛋
721,2021,2,202104,202116,20210419,20210423,10:18.0,19,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,3,3,1.5,2,生鲜,蛋类,包装蛋类,包装盐蛋
220,2021,2,202104,202116,20210419,20210424,58:13.0,8,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,1.5,1.5,1.5,1,生鲜,蛋类,包装蛋类,包装盐蛋
762,2021,2,202104,202116,20210419,20210424,18:40.0,11,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,7.5,7.5,1.5,5,生鲜,蛋类,包装蛋类,包装盐蛋
965,2021,2,202104,202116,20210419,20210424,51:15.0,12,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,3,3,1.5,2,生鲜,蛋类,包装蛋类,包装盐蛋
27,2021,2,202104,202116,20210419,20210424,37:41.0,13,510113002,咸鸭蛋,溢流香1枚熟咸蛋60g,枚,3,3,1.5,2,生鲜,蛋类,包装蛋类,包装盐蛋
