Unnamed: 0,year_id,quarter_id,smonth,sweek,start_day_week,sdate,stime,shour,pos_id,bills_id,goods_id,goods_name_st,goods_name_orig,unit_name,sale_amount,sale_orig_amount,sale_price,sale_qty,cost_amount,mysl_category_name_lv1,mysl_category_name_lv2,mysl_category_name_lv3,mysl_category_name_lv4
776,2021,1,202101,202053,20201228,20210103,44:18.0,16,2116,21160031867,2711020100695,长柄鞋刷7188,L)清清美7188长柄鞋刷,只,8.9,8.9,8.9,1,0,非食,家居用品,清洁用具,洗刷用品
296,2021,1,202102,202107,20210215,20210215,51:14.0,10,2112,21120132503,2711020100695,长柄鞋刷7188,L)清清美7188长柄鞋刷,只,6.05,6.05,6.05,1,0,非食,家居用品,清洁用具,洗刷用品
202,2021,1,202102,202107,20210215,20210218,35:59.0,20,2112,21120133744,2711020100695,长柄鞋刷7188,L)清清美7188长柄鞋刷,只,6.05,6.05,6.05,1,0,非食,家居用品,清洁用具,洗刷用品
777,2021,1,202102,202107,20210215,20210220,17:56.0,11,2112,21120134484,2711020100695,长柄鞋刷7188,L)清清美7188长柄鞋刷,只,6.05,6.05,6.05,1,0,非食,家居用品,清洁用具,洗刷用品
127,2021,1,202103,202109,20210301,20210301,39:03.0,12,2116,21160053153,2711020100695,长柄鞋刷7188,L)清清美7188长柄鞋刷,只,8.9,8.9,8.9,1,0,非食,家居用品,清洁用具,洗刷用品
332,2021,1,202103,202109,20210301,20210304,25:25.0,17,2112,21120139896,2711020100695,长柄鞋刷7188,L)清清美7188长柄鞋刷,只,8.9,8.9,8.9,1,0,非食,家居用品,清洁用具,洗刷用品
863,2021,1,202103,202111,20210315,20210316,57:12.0,18,2114,21140112192,2711020100695,长柄鞋刷7188,L)清清美7188长柄鞋刷,只,8.9,8.9,8.9,1,0,非食,家居用品,清洁用具,洗刷用品
791,2021,2,202105,202119,20210510,20210516,44:41.0,19,2112,21120180219,2711020100695,长柄鞋刷7188,L)清清美7188长柄鞋刷,只,8.9,8.9,8.9,1,0,非食,家居用品,清洁用具,洗刷用品
771,2021,3,202107,202127,20210705,20210707,30:03.0,20,2114,21140164206,2711020100695,长柄鞋刷7188,L)清清美7188长柄鞋刷,只,8.9,8.9,8.9,1,0,非食,家居用品,清洁用具,洗刷用品
825,2021,3,202107,202130,20210726,20210727,36:32.0,8,2114,21140174987,2711020100695,长柄鞋刷7188,L)清清美7188长柄鞋刷,只,8.9,8.9,8.9,1,0,非食,家居用品,清洁用具,洗刷用品
899,2021,3,202108,202132,20210809,20210813,18:33.0,9,2110,21100033350,2711020100695,长柄鞋刷7188,L)清清美7188长柄鞋刷,只,8.9,8.9,8.9,1,0,非食,家居用品,清洁用具,洗刷用品
815,2021,3,202108,202133,20210816,20210818,40:58.0,17,2113,21130194135,2711020100695,长柄鞋刷7188,L)清清美7188长柄鞋刷,只,8.9,8.9,8.9,1,0,非食,家居用品,清洁用具,洗刷用品
665,2021,3,202108,202134,20210823,20210824,40:00.0,18,2112,21120240848,2711020100695,长柄鞋刷7188,L)清清美7188长柄鞋刷,只,8.9,8.9,8.9,1,0,非食,家居用品,清洁用具,洗刷用品
652,2021,4,202110,202143,20211025,20211031,07:48.0,19,2112,21120282769,2711020100695,长柄鞋刷7188,L)清清美7188长柄鞋刷,只,8.9,8.9,8.9,1,0,非食,家居用品,清洁用具,洗刷用品
551,2021,4,202111,202146,20211115,20211120,47:01.0,11,2113,21130235412,2711020100695,长柄鞋刷7188,L)清清美7188长柄鞋刷,只,8.9,8.9,8.9,1,0,非食,家居用品,清洁用具,洗刷用品
111,2021,4,202112,202150,20211213,20211216,49:41.0,13,2110,21100045404,2711020100695,长柄鞋刷7188,L)清清美7188长柄鞋刷,只,8.9,8.9,8.9,1,0,非食,家居用品,清洁用具,洗刷用品
671,2021,4,202112,202150,20211213,20211218,27:08.0,9,2116,21160159730,2711020100695,长柄鞋刷7188,L)清清美7188长柄鞋刷,只,8.9,8.9,8.9,1,0,非食,家居用品,清洁用具,洗刷用品
